#298.15 -> 2000 for radius = 0.0001 for material: Железо
Counter,Time,Velocity,Distance,Temperature
0,0.000000,0.000098,0.000000,298.184008
923.000000,0.011950,0.090644,0.000700,313.789773
1846.000000,0.023926,0.181191,0.002808,329.285819
2769.000000,0.035876,0.271737,0.006313,344.606378
3692.000000,0.047852,0.362283,0.011231,359.819223
4615.000000,0.059802,0.452830,0.017541,374.859789
5538.000000,0.071777,0.543376,0.025271,389.794610
6461.000000,0.083727,0.633922,0.034385,404.560299
7384.000000,0.095703,0.724469,0.044925,419.222176
8307.000000,0.107653,0.815015,0.056845,433.718013
9230.000000,0.119629,0.905561,0.070196,448.111934
10153.000000,0.131579,0.996107,0.084920,462.342850
11076.000000,0.143555,1.086654,0.101082,476.473713
11999.000000,0.155505,1.177200,0.118612,490.444549
12922.000000,0.167481,1.267746,0.137584,504.317161
13845.000000,0.179431,1.358293,0.157918,518.032672
14768.000000,0.191407,1.448839,0.179702,531.651753
15691.000000,0.203356,1.539385,0.202841,545.116603
16614.000000,0.215332,1.629932,0.227435,558.486786
17537.000000,0.227282,1.720478,0.253379,571.705557
18460.000000,0.239258,1.811024,0.280784,584.831391
19383.000000,0.251208,1.901570,0.309533,597.808581
20306.000000,0.263184,1.992117,0.339749,610.694532
21229.000000,0.275134,2.082663,0.371302,623.434554
22152.000000,0.287110,2.173209,0.404329,636.085006
23075.000000,0.299060,2.263756,0.438687,648.592197
23998.000000,0.311036,2.354302,0.474525,661.011453
24921.000000,0.322986,2.444848,0.511688,673.290066
25844.000000,0.334961,2.535395,0.550337,685.482353
26767.000000,0.346911,2.625941,0.590304,697.536566
27690.000000,0.358887,2.716487,0.631764,709.506030
28613.000000,0.370837,2.807033,0.674537,721.339945
29536.000000,0.382813,2.897580,0.718807,733.090659
30459.000000,0.394763,2.988126,0.764385,744.708301
31382.000000,0.406739,3.078672,0.811466,756.244264
32305.000000,0.418689,3.169219,0.859848,767.649586
33228.000000,0.430665,3.259765,0.909741,778.974721
34151.000000,0.442615,3.350311,0.960927,790.171603
35074.000000,0.454591,3.440858,1.013631,801.289764
35997.000000,0.466540,3.531404,1.067622,812.282015
36920.000000,0.478516,3.621950,1.123136,823.196984
37843.000000,0.490466,3.712496,1.179933,833.988346
38766.000000,0.502442,3.803043,1.238258,844.703836
39689.000000,0.514392,3.893589,1.297859,855.297978
40612.000000,0.526368,3.984135,1.358995,865.817636
41535.000000,0.538318,4.074682,1.421401,876.218163
42458.000000,0.550294,4.165228,1.485348,886.545568
43381.000000,0.562244,4.255774,1.550559,896.756018
44304.000000,0.574220,4.346321,1.617316,906.894682
45227.000000,0.586170,4.436867,1.685332,916.918530
46150.000000,0.598145,4.527413,1.754901,926.871903
47073.000000,0.610095,4.617959,1.825721,936.712559
47996.000000,0.622071,4.708506,1.898101,946.484028
48919.000000,0.634021,4.799052,1.971726,956.144839
49842.000000,0.645997,4.889598,2.046916,965.737728
50765.000000,0.657947,4.980145,2.123346,975.221981
51688.000000,0.669923,5.070691,2.201347,984.639553
52611.000000,0.681873,5.161237,2.280582,993.950475
53534.000000,0.693849,5.251783,2.361394,1003.195936
